                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.37916,                0.67287,                0.84219,                0.82571,                   0.85,                0.94476,                0.83525,                0.61149,                0.86108,                 1.1246,              0.0011288,              0.0011288,              0.0011288
                     68,                0.39708,                0.76655,                0.82114,                0.99581,                    0.9,                0.97004,                0.84005,                0.62225,                0.78571,                 1.1671,              0.0011156,              0.0011156,              0.0011156
                     69,                0.41824,                0.73683,                0.88037,                0.90867,                0.99511,                0.98591,                0.85819,                0.65353,                0.78822,                 1.1726,              0.0011024,              0.0011024,              0.0011024
                     70,                0.38778,                0.74102,                0.82392,                0.95182,                0.98832,                0.99262,                0.86352,                0.65408,                0.89447,                 1.0599,              0.0010892,              0.0010892,              0.0010892
                     71,                0.39156,                0.73558,                0.83169,                0.79719,                      1,                0.96303,                0.81952,                0.62882,                 1.0966,                 1.0303,               0.001076,               0.001076,               0.001076
                     72,                0.45412,                0.62873,                0.90756,                0.82765,                      1,                0.97025,                0.82645,                0.61916,                 1.0462,                  1.034,              0.0010628,              0.0010628,              0.0010628
                     73,                0.38367,                0.72326,                 0.8278,                0.82893,                      1,                 0.9475,                0.81469,                 0.6205,                 1.1534,                 1.0294,              0.0010496,              0.0010496,              0.0010496
                     74,                0.48662,                0.74909,                0.86675,                0.82316,                   0.95,                0.94773,                0.81353,                0.62352,                 1.1613,                 1.0588,              0.0010364,              0.0010364,              0.0010364
                     75,                0.41756,                0.66589,                 0.8426,                0.85807,                   0.95,                0.96456,                 0.8255,                0.66674,                0.97389,                  1.111,              0.0010232,              0.0010232,              0.0010232
                     76,                0.38697,                0.59286,                0.87286,                0.99032,                   0.95,                  0.985,                 0.8548,                0.68033,                0.78853,                 1.1091,                0.00101,                0.00101,                0.00101
                     77,                0.39413,                0.60006,                0.87979,                0.98884,                    0.9,                0.93294,                0.81978,                0.67641,                 0.8505,                 1.0846,              0.0009968,              0.0009968,              0.0009968
                     78,                0.43023,                0.63274,                0.89817,                0.99913,                    0.9,                0.95932,                0.81538,                0.67229,                0.92523,                 1.0939,              0.0009836,              0.0009836,              0.0009836
                     79,                0.39628,                0.63012,                0.84115,                0.96015,                   0.85,                 0.9533,                0.80673,                0.66369,                 0.8997,                 1.0818,              0.0009704,              0.0009704,              0.0009704
                     80,                0.37187,                0.88153,                0.82483,                      1,                0.89986,                0.94562,                0.80936,                0.67269,                0.87063,                 1.1019,              0.0009572,              0.0009572,              0.0009572
                     81,                0.35917,                0.57881,                0.84465,                0.93269,                    0.9,                0.92784,                0.79984,                0.64112,                0.76188,                 1.0645,               0.000944,               0.000944,               0.000944
                     82,                0.46894,                 0.6888,                0.92092,                0.97569,                    0.9,                   0.93,                0.80974,                0.63689,                0.68676,                 1.0389,              0.0009308,              0.0009308,              0.0009308
                     83,                0.37916,                0.69246,                0.82828,                0.99239,                    0.9,                0.92531,                0.80576,                0.64913,                0.71132,                 1.0311,              0.0009176,              0.0009176,              0.0009176
                     84,                0.39186,                0.65725,                0.89042,                0.99495,                    0.9,                0.92757,                0.79802,                0.64259,                0.75917,                 0.9972,              0.0009044,              0.0009044,              0.0009044
                     85,                0.38619,                0.64413,                  0.854,                0.99665,                    0.9,                0.93085,                0.80939,                0.63334,                  0.802,                0.98115,              0.0008912,              0.0008912,              0.0008912
                     86,                 0.4446,                0.65172,                0.88116,                0.99576,                    0.9,                 0.9633,                0.83773,                0.58841,                0.73977,                0.94945,               0.000878,               0.000878,               0.000878
                     87,                0.33009,                0.60285,                0.81333,                 0.9936,                    0.9,                  0.934,                0.84941,                0.56589,                   0.72,                0.95319,              0.0008648,              0.0008648,              0.0008648
                     88,                0.32697,                 0.5725,                0.85905,                0.97748,                   0.85,                0.96804,                0.86509,                0.57328,                0.73554,                0.92903,              0.0008516,              0.0008516,              0.0008516
                     89,                0.34848,                0.65206,                0.85952,                0.98973,                   0.85,                0.96478,                0.86378,                0.55405,                0.72836,                0.93707,              0.0008384,              0.0008384,              0.0008384
                     90,                0.36296,                0.61505,                 0.8517,                0.99946,                    0.9,                0.98024,                0.88038,                0.55498,                0.67037,                0.96787,              0.0008252,              0.0008252,              0.0008252
                     91,                0.37855,                0.58518,                0.86526,                0.99661,                    0.9,                0.96725,                0.87376,                0.60919,                0.70881,                 1.0246,               0.000812,               0.000812,               0.000812
                     92,                 0.3254,                0.58152,                0.81257,                0.99615,                    0.9,                0.94632,                0.83016,                0.61533,                0.74853,                 1.0295,              0.0007988,              0.0007988,              0.0007988
                     93,                0.33068,                0.53909,                0.83282,                0.99539,                    0.9,                0.94066,                 0.8171,                0.63987,                0.80192,                 1.0405,              0.0007856,              0.0007856,              0.0007856
                     94,                0.34944,                0.54779,                0.85805,                0.99462,                    0.9,                0.93674,                0.83479,                0.59277,                 0.7669,                 1.0201,              0.0007724,              0.0007724,              0.0007724
                     95,                0.33566,                0.52991,                0.84025,                0.99484,                    0.9,                0.94979,                0.85864,                0.57941,                 0.6946,                 0.9848,              0.0007592,              0.0007592,              0.0007592
                     96,                0.35075,                0.55752,                 0.8246,                0.99339,                    0.9,                0.95681,                0.87481,                0.55759,                 0.6611,                0.96165,               0.000746,               0.000746,               0.000746
                     97,                0.30435,                0.46778,                 0.8742,                0.99046,                    0.9,                0.96011,                0.85685,                0.55523,                0.68586,                0.95062,              0.0007328,              0.0007328,              0.0007328
                     98,                0.36659,                0.55997,                0.85052,                0.94698,                    0.9,                0.95796,                0.83852,                0.58503,                0.75211,                0.97329,              0.0007196,              0.0007196,              0.0007196
                     99,                0.36982,                0.48554,                0.88309,                0.92542,                    0.9,                 0.9596,                0.81689,                0.58804,                0.84246,                 1.0142,              0.0007064,              0.0007064,              0.0007064
                    100,                0.37058,                0.54675,                0.84654,                0.90305,                    0.9,                0.95306,                 0.8021,                0.62009,                0.98417,                 1.0906,              0.0006932,              0.0006932,              0.0006932
                    101,                0.33748,                0.56633,                0.86399,                0.93178,                    0.9,                0.94961,                0.79573,                0.65078,                0.97298,                  1.095,                0.00068,                0.00068,                0.00068
                    102,                0.33375,                0.53305,                0.84094,                0.93166,                    0.9,                0.95224,                0.79656,                0.65335,                0.93964,                 1.0742,              0.0006668,              0.0006668,              0.0006668
                    103,                0.32186,                0.53711,                0.83845,                0.90957,                    0.9,                0.94632,                0.80954,                0.62423,                0.91003,                 1.0207,              0.0006536,              0.0006536,              0.0006536
                    104,                0.32852,                0.46604,                 0.8696,                0.94339,                    0.9,                0.94844,                0.82482,                0.59184,                0.84962,                0.99375,              0.0006404,              0.0006404,              0.0006404
                    105,                0.33006,                0.58228,                0.82366,                 0.9469,                0.89204,                0.95308,                0.83358,                0.54242,                0.77501,                 0.9622,              0.0006272,              0.0006272,              0.0006272
                    106,                0.32399,                0.45929,                0.84973,                0.94678,                0.88996,                0.95306,                0.83887,                0.55974,                 0.7745,                0.97954,               0.000614,               0.000614,               0.000614
                    107,                0.31756,                 0.4624,                 0.8504,                0.94677,                0.88978,                0.95748,                0.82381,                0.59544,                0.80057,                 1.0206,              0.0006008,              0.0006008,              0.0006008
                    108,                0.34499,                0.52109,                0.84187,                0.93541,                    0.9,                0.96888,                0.82741,                0.61286,                0.73763,                 1.0167,              0.0005876,              0.0005876,              0.0005876
                    109,                0.32039,                0.51199,                  0.829,                0.94396,                   0.95,                0.97821,                0.82924,                0.64328,                0.73103,                 1.0794,              0.0005744,              0.0005744,              0.0005744
                    110,                0.27765,                0.47788,                0.81179,                0.94321,                   0.95,                0.97571,                0.80521,                0.59921,                0.76831,                  1.038,              0.0005612,              0.0005612,              0.0005612
                    111,                0.33027,                0.49207,                0.84357,                0.94438,                   0.95,                0.97698,                0.81475,                0.59537,                0.79398,                 1.0414,               0.000548,               0.000548,               0.000548
                    112,                0.28687,                0.41723,                  0.856,                0.94707,                   0.95,                0.97583,                0.80677,                0.62806,                0.79371,                  1.033,              0.0005348,              0.0005348,              0.0005348
                    113,                0.33838,                0.49879,                0.82917,                0.94539,                   0.95,                0.97571,                0.79652,                0.68168,                0.91281,                 1.1179,              0.0005216,              0.0005216,              0.0005216
                    114,                 0.3161,                0.59086,                0.81404,                0.94416,                   0.95,                0.97476,                0.82518,                0.65664,                0.77531,                 1.0782,              0.0005084,              0.0005084,              0.0005084
                    115,                0.32458,                0.46764,                0.84414,                0.99087,                   0.95,                 0.9753,                 0.8066,                0.66464,                0.65683,                 1.0702,              0.0004952,              0.0004952,              0.0004952
                    116,                0.32596,                0.47433,                0.85771,                0.98841,                   0.95,                0.97278,                0.83007,                0.65671,                0.63562,                 1.0824,               0.000482,               0.000482,               0.000482
                    117,                0.35418,                0.59048,                0.82112,                0.98996,                   0.95,                0.97278,                0.84132,                0.64376,                 0.6262,                 1.0819,              0.0004688,              0.0004688,              0.0004688
                    118,                0.32106,                0.52951,                0.82718,                0.99833,                   0.95,                0.97625,                 0.8463,                0.61773,                0.59086,                 1.0426,              0.0004556,              0.0004556,              0.0004556
                    119,                0.31789,                0.47532,                0.85388,                0.99896,                   0.95,                0.98204,                0.85158,                0.64279,                0.59867,                 1.0699,              0.0004424,              0.0004424,              0.0004424
                    120,                0.30597,                 0.5255,                  0.753,                      1,                 0.9482,                0.98204,                0.85925,                0.64019,                 0.5948,                  1.067,              0.0004292,              0.0004292,              0.0004292
                    121,                0.27983,                0.48154,                0.84044,                      1,                0.93683,                0.97726,                0.84171,                 0.6378,                0.59817,                 1.0551,               0.000416,               0.000416,               0.000416
                    122,                 0.3034,                0.41934,                0.89532,                0.94295,                   0.95,                0.97375,                0.84191,                 0.6066,                0.57145,                 1.0306,              0.0004028,              0.0004028,              0.0004028
                    123,                0.30307,                0.43264,                0.81801,                0.94996,                 0.9492,                0.97583,                0.85946,                0.58193,                 0.6362,                0.99894,              0.0003896,              0.0003896,              0.0003896
                    124,                0.28202,                0.45937,                0.85047,                 0.9498,                0.94628,                0.97476,                0.86458,                0.58279,                0.67071,                0.99958,              0.0003764,              0.0003764,              0.0003764
                    125,                0.26594,                0.43849,                   0.81,                0.94485,                    0.9,                0.96964,                0.85865,                0.56894,                0.74568,                0.97932,              0.0003632,              0.0003632,              0.0003632
                    126,                 0.3508,                0.44875,                0.89408,                0.93298,                    0.9,                0.97003,                0.86679,                0.55305,                0.68527,                0.96441,                0.00035,                0.00035,                0.00035
                    127,                0.27367,                0.39884,                0.86876,                0.93396,                    0.9,                 0.9674,                0.85413,                0.56447,                0.72636,                 0.9617,              0.0003368,              0.0003368,              0.0003368
                    128,                0.30711,                0.44462,                0.83057,                0.94332,                    0.9,                0.96289,                0.86595,                0.59056,                0.76818,                0.99461,              0.0003236,              0.0003236,              0.0003236
                    129,                0.28199,                0.42224,                0.85144,                0.91872,                    0.9,                0.96676,                0.86043,                 0.5763,                0.71909,                0.97838,              0.0003104,              0.0003104,              0.0003104
                    130,                0.30496,                0.42839,                0.84234,                0.87428,                    0.9,                0.96056,                0.83963,                0.58473,                0.75732,                0.99919,              0.0002972,              0.0002972,              0.0002972
                    131,                0.29373,                0.47718,                 0.7997,                0.81385,                   0.95,                0.94785,                0.81942,                0.57207,                0.80988,                 1.0328,               0.000284,               0.000284,               0.000284
                    132,                0.25894,                0.45185,                 0.8328,                0.82602,                   0.95,                0.95801,                0.83746,                0.56615,                0.74726,                 1.0268,              0.0002708,              0.0002708,              0.0002708
                    133,                0.26894,                0.41889,                0.82077,                0.90315,                0.93304,                0.96568,                0.84327,                0.54566,                0.74457,                0.99569,              0.0002576,              0.0002576,              0.0002576
                    134,                0.29495,                0.45212,                0.86054,                0.88525,                   0.95,                0.96974,                0.86301,                0.53413,                0.69243,                0.98684,              0.0002444,              0.0002444,              0.0002444
                    135,                0.27757,                0.42358,                0.83447,                0.94968,                 0.9439,                0.97571,                 0.8652,                 0.5294,                0.69414,                0.97762,              0.0002312,              0.0002312,              0.0002312
                    136,                0.25531,                0.41883,                0.82681,                0.93974,                   0.95,                0.97571,                0.86103,                0.53077,                0.64427,                0.95713,               0.000218,               0.000218,               0.000218
                    137,                0.29451,                0.46797,                 0.8607,                0.94104,                   0.95,                0.98096,                0.87144,                0.50891,                 0.6494,                0.96205,              0.0002048,              0.0002048,              0.0002048
                    138,                0.23017,                0.37512,                 0.8405,                0.94035,                   0.95,                0.98096,                0.87505,                0.53439,                0.63812,                0.95839,              0.0001916,              0.0001916,              0.0001916
                    139,                0.29406,                0.39879,                0.85864,                0.99688,                   0.95,                0.98204,                0.86575,                0.52949,                0.64315,                0.95781,              0.0001784,              0.0001784,              0.0001784
                    140,                0.24066,                0.45331,                0.80377,                0.99834,                   0.95,                0.98204,                 0.8728,                0.53687,                0.64613,                0.95398,              0.0001652,              0.0001652,              0.0001652
